canonical_term,display_label,type,category,source,source_detail,priority_tier,core_or_fringe,part_of_speech,phrase_pos,ui_tab,intent_tags,scenario_tags,allowed_for_generation,allowed_for_grid,requires_personalization,synonyms_or_variants,phrase_templates,notes
play doh,Play doh,word,Actions,Faison SLP collected words,,Tier 2 - Faison expansion,core,noun,,actions,request,,Yes,Yes,No,,,Typical 1 word expressions from Faison
playground,Playground,word,Actions,Faison SLP collected words,,Tier 2 - Faison expansion,core,noun,,things,request,,Yes,Yes,No,,,Typical 1 word expressions from Faison
popcorn,Popcorn,word,Food/Drink,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,general vocabulary,,Yes,Yes,No,,I want ___; I need ___,Typical 1 word expressions from Faison
pretzel,Pretzel,word,Food/Drink,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,general vocabulary,,Yes,Yes,No,,I want ___; I need ___,Typical 1 word expressions from Faison
purple,Purple,word,Descriptors,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,descriptor/adjective,,more,description/labeling,,Yes,Yes,No,,,Typical 1 word expressions from Faison
push,Push,word,Actions,Faison SLP collected words; Marvin 330 preschool words,,Tier 2 - Faison expansion,core,verb/action,,actions,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
put,Put,word,Actions,Faison SLP collected words; Marvin 330 preschool words,,Tier 2 - Faison expansion,core,verb/action,,actions,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
puzzle,Puzzle,word,Preferred Items,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,description/labeling,,Yes,Yes,Yes,,I want ___; I need ___,Typical 1 word expressions from Faison
read,Read,word,Actions,Faison SLP collected words,,Tier 2 - Faison expansion,core,verb/action,,actions,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
red,Red,word,Descriptors,Faison SLP collected words; Marvin 330 preschool words,,Tier 2 - Faison expansion,fringe/personalizable,descriptor/adjective,,more,description/labeling,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
rice,Rice,word,Food/Drink,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,general vocabulary,,Yes,Yes,No,,I want ___; I need ___,Typical 1 word expressions from Faison
run,Run,word,Actions,Faison SLP collected words; Marvin 330 preschool words,,Tier 2 - Faison expansion,core,verb/action,,actions,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
sand,Sand,word,Preferred Items,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,description/labeling,,Yes,Yes,Yes,,I want ___; I need ___,Typical 1 word expressions from Faison
scared,Scared,word,Feelings,AMIGA-AAC Meaning Room,,Tier 2 - Faison expansion,core,descriptor/adjective,,feelings,emotional expression,,Yes,Yes,No,afraid; frightened,I feel scared; I am scared,Tier 2 feeling; important for ASD emotional communication
see,See,word,Actions,Faison SLP collected words; Marvin 330 preschool words,,Tier 2 - Faison expansion,core,verb/action,,actions,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
shirt,Shirt,word,Social,Faison SLP collected words,,Tier 2 - Faison expansion,core,noun,,things,social,,Yes,Yes,No,,,Typical 1 word expressions from Faison
shoe,Shoe,word,Clothing,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,description/labeling,,Yes,Yes,No,,I want ___; I need ___,Typical 1 word expressions from Faison
sleep,Sleep,word,Actions,Faison SLP collected words,,Tier 2 - Faison expansion,core,verb/action,,actions,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
slide,Slide,word,Actions,Faison SLP collected words,,Tier 2 - Faison expansion,core,verb/action,,actions,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
slow,Slow,word,Descriptors,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,descriptor/adjective,,more,description/labeling,,Yes,Yes,No,,,Typical 1 word expressions from Faison
sock,Sock,word,Clothing,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,description/labeling,,Yes,Yes,No,,I want ___; I need ___,Typical 1 word expressions from Faison
spin,Spin,word,Actions,Faison SLP collected words,,Tier 2 - Faison expansion,core,verb/action,,actions,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
squeeze,squeeze,word,Actions,Faison SLP collected words,,Tier 2 - Faison expansion,core,verb/action,,actions,general vocabulary,,Yes,Yes,No,Tickle/squeeze,,Variant from slash-delimited Faison row
stomach,stomach,word,Body Parts,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,description/labeling,,Yes,Yes,No,Tummy/stomach,,Variant from slash-delimited Faison row
surprised,Surprised,word,Feelings,AMIGA-AAC Meaning Room,,Tier 2 - Faison expansion,core,descriptor/adjective,,feelings,emotional expression,,Yes,Yes,No,,I feel surprised; I am surprised,Tier 2 feeling
swing,Swing,word,Actions,Faison SLP collected words,,Tier 2 - Faison expansion,core,verb/action,,actions,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
take,Take,word,Actions,Faison SLP collected words,,Tier 2 - Faison expansion,core,verb/action,,actions,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
that's funny,That's funny,phrase,People/Pronouns/Possessives,Validation scenarios,,Tier 2 - Faison expansion,core,phrase,descriptor/adjective,core,social,Commenting,Yes,Yes,No,,,Social commenting
their,Their,word,People/Pronouns/Possessives,Faison SLP collected words; Marvin 330 preschool words,,Tier 2 - Faison expansion,core,pronoun/person,,people,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
them,Them,word,People/Pronouns/Possessives,Faison SLP collected words; Marvin 330 preschool words,,Tier 2 - Faison expansion,core,pronoun/person,,people,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
tickle,Tickle,word,Actions,Faison SLP collected words,,Tier 2 - Faison expansion,core,verb/action,,actions,general vocabulary,,Yes,Yes,No,Tickle/squeeze,,Variant from slash-delimited Faison row
tickle/squeeze,Tickle/squeeze,phrase,Actions,Faison SLP collected words,,Tier 2 - Faison expansion,core,phrase,verb/action,actions,general vocabulary,,Yes,Yes,Yes,,,Typical 1 word expressions from Faison
too loud / i need a break,Too loud / I need a break,phrase,Actions,Validation scenarios,,Tier 2 - Faison expansion,core,phrase,descriptor/adjective,actions,regulation/body need,Overstimulated,Yes,Yes,No,,,Sensory regulation
toy,Toy,word,Preferred Items,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,description/labeling,,Yes,Yes,Yes,Toy/Game,I want ___; I need ___,Variant from slash-delimited Faison row
toy/game,Toy/Game,word,Preferred Items,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,description/labeling,,Yes,Yes,Yes,,I want ___; I need ___,Typical 1 word expressions from Faison
train,Train,word,Places,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
trampoline,Trampoline,word,Places,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
tummy,Tummy,word,People/Pronouns/Possessives,Faison SLP collected words,,Tier 2 - Faison expansion,core,noun,,things,general vocabulary,,Yes,Yes,No,Tummy/stomach,,Variant from slash-delimited Faison row
tummy/stomach,Tummy/stomach,word,People/Pronouns/Possessives,Faison SLP collected words,,Tier 2 - Faison expansion,core,noun,,things,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
up,Up,word,Places,Faison SLP collected words; Marvin 330 preschool words,,Tier 2 - Faison expansion,fringe/personalizable,location/preposition,,more,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
walk,Walk,word,Actions,Faison SLP collected words,,Tier 2 - Faison expansion,core,verb/action,,actions,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
want help,Want help,phrase,Actions,Faison SLP collected words,,Tier 2 - Faison expansion,core,phrase,verb/action,actions,request; help-seeking,,Yes,Yes,No,Want help / want item,,Variant from slash-delimited Faison row
want help / want item,Want help / want item,phrase,Actions,Faison SLP collected words,,Tier 2 - Faison expansion,core,phrase,verb/action,actions,request; help-seeking,,Yes,Yes,No,,,Restrict outputs to simple words only
want item,want item,phrase,Actions,Faison SLP collected words,,Tier 2 - Faison expansion,core,phrase,verb/action,actions,request,,Yes,Yes,No,Want help / want item,,Variant from slash-delimited Faison row
water/juice,Water/juice,word,Food/Drink,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,request,,Yes,Yes,Yes,,I want ___; I need ___,Typical 1 word expressions from Faison
white,White,word,Social,Faison SLP collected words,,Tier 2 - Faison expansion,core,descriptor/adjective,,more,social,,Yes,Yes,No,,,Typical 1 word expressions from Faison
work,Work,word,Actions,Faison SLP collected words,,Tier 2 - Faison expansion,core,verb/action,,actions,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
worried,Worried,word,Feelings,AMIGA-AAC Meaning Room,,Tier 2 - Faison expansion,core,descriptor/adjective,,feelings,emotional expression,,Yes,Yes,No,anxious,I feel worried; I am worried,Tier 2 feeling; anxiety expression
yellow,Yellow,word,Descriptors,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,descriptor/adjective,,more,description/labeling,,Yes,Yes,No,,,Typical 1 word expressions from Faison
your,Your,word,People/Pronouns/Possessives,Faison SLP collected words; Marvin 330 preschool words,,Tier 2 - Faison expansion,core,pronoun/person,,people,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
a,a,word,Function/Core,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,word,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
about,about,word,Places,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,location/preposition,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
after,after,word,Uncategorized,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,word,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
again,again,word,Places,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,location/preposition,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
all,all,word,Uncategorized,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,word,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
almost,almost,word,Uncategorized,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,word,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
already,already,word,Actions,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,verb/action,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
also,also,word,Uncategorized,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,word,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
an,an,word,Function/Core,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,word,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
and,and,word,Function/Core,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,word,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
another,another,word,People/Pronouns/Possessives,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,word,,more,refusal/protest,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
ant,ant,word,Uncategorized,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,noun,,things,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
any,any,word,Uncategorized,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,word,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
are,are,word,Function/Core,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,verb/action,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
around,around,word,Uncategorized,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,location/preposition,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
as,as,word,Function/Core,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,word,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
at,at,word,Function/Core,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,location/preposition,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
away,away,word,Uncategorized,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,location/preposition,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
baby,baby,word,Uncategorized,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,noun,,people,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
back,back,word,Uncategorized,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,location/preposition,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
ball,ball,word,Preferred Items,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,noun,,things,description/labeling,,Yes,No,Yes,,I want ___; I need ___,Reference expansion from Marvin et al. 330 preschool words
be,be,word,Function/Core,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,verb/action,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
bean,bean,word,Food/Drink,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,noun,,things,general vocabulary,,Yes,No,No,,I want ___; I need ___,Reference expansion from Marvin et al. 330 preschool words
because,because,word,Actions,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,verb/action,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
before,before,word,Uncategorized,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,word,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
being,being,word,Places,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,location/preposition,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
bet,bet,word,Uncategorized,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,word,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
better,better,word,Uncategorized,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,descriptor/adjective,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
bird,bird,word,People/Pronouns/Possessives,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,noun,,things,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
birds,birds,word,People/Pronouns/Possessives,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,noun,,things,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
bite,bite,word,People/Pronouns/Possessives,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,verb/action,,actions,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
both,both,word,Uncategorized,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,word,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
box,box,word,Preferred Items,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,noun,,things,description/labeling,,Yes,No,Yes,,I want ___; I need ___,Reference expansion from Marvin et al. 330 preschool words
boy,boy,word,People/Pronouns/Possessives,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,pronoun/person,,people,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
bugs,bugs,word,Uncategorized,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,noun,,things,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
but,but,word,Function/Core,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,word,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
buy,buy,word,Actions,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,verb/action,,actions,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
by,by,word,Function/Core,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,location/preposition,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
bye,bye,word,Social,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,word,,core,social,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
call,call,word,Actions,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,verb/action,,actions,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
came,came,word,People/Pronouns/Possessives,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,verb/action,,actions,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
can,can,word,Uncategorized,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,verb/action,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
catch,catch,word,Actions,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,verb/action,,actions,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
cause,cause,word,Actions,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,verb/action,,actions,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
chair,chair,word,Preferred Items,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,noun,,things,description/labeling,,Yes,No,Yes,,I want ___; I need ___,Reference expansion from Marvin et al. 330 preschool words
come,come,word,Actions,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,verb/action,,actions,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
comes,comes,word,Actions,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,verb/action,,actions,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
corn,corn,word,Food/Drink,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,noun,,things,general vocabulary,,Yes,No,No,,I want ___; I need ___,Reference expansion from Marvin et al. 330 preschool words
could,could,word,Uncategorized,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,verb/action,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
cup,cup,word,Places,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,location/preposition,,things,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
cut,cut,word,Actions,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,verb/action,,actions,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
day,day,word,Uncategorized,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,noun,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
did,did,word,People/Pronouns/Possessives,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,verb/action,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
didn't,didn't,word,People/Pronouns/Possessives,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,verb/action,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
different,different,word,Descriptors,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,descriptor/adjective,,more,description/labeling,,Yes,No,No,,I don't want that; All done; Different,Reference expansion from Marvin et al. 330 preschool words
doctor,doctor,word,Actions,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,verb/action,,people,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
does,does,word,Actions,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,verb/action,,actions,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
doesn't,doesn't,word,Actions,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,verb/action,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
doing,doing,word,Actions,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,verb/action,,actions,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
don't,don't,word,Actions,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,verb/action,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
done,done,word,Actions,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,verb/action,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
door,door,word,Actions,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,verb/action,,things,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
duck,duck,word,Preferred Items,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,noun,,things,description/labeling,,Yes,No,Yes,,I want ___; I need ___,Reference expansion from Marvin et al. 330 preschool words
eating,eating,word,Actions,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,verb/action,,actions,request,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
else,else,word,Uncategorized,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,word,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
even,even,word,Uncategorized,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,word,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
everybody,everybody,word,People/Pronouns/Possessives,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,pronoun/person,,people,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
everything,everything,word,Places,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,location/preposition,,more,social,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
face,face,word,Body Parts,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,noun,,things,description/labeling,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
fall,fall,word,Uncategorized,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,verb/action,,actions,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
find,find,word,Actions,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,verb/action,,actions,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
finger,finger,word,Places,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,location/preposition,,things,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
fire,fire,word,People/Pronouns/Possessives,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,noun,,things,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
first,first,word,People/Pronouns/Possessives,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,word,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
five,five,word,People/Pronouns/Possessives,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,word,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
fixed,fixed,word,People/Pronouns/Possessives,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,verb/action,,actions,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
fly,fly,word,Uncategorized,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,verb/action,,actions,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
foot,foot,word,Body Parts,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,noun,,things,description/labeling,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
for,for,word,Function/Core,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,word,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
found,found,word,Uncategorized,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,verb/action,,actions,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
from,from,word,Function/Core,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,location/preposition,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
get,get,word,Actions,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,verb/action,,actions,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
gets,gets,word,Actions,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,verb/action,,actions,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
getting,getting,word,Actions,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,verb/action,,actions,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
girl,girl,word,People/Pronouns/Possessives,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,pronoun/person,,people,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
girls,girls,word,People/Pronouns/Possessives,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,pronoun/person,,people,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
give,give,word,Actions,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,verb/action,,actions,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
goes,goes,word,Actions,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,verb/action,,actions,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
going,going,word,Actions,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,verb/action,,actions,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
gonna,gonna,word,Actions,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,verb/action,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
great,great,word,Actions,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,descriptor/adjective,,feelings,request,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
guys,guys,word,People/Pronouns/Possessives,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,pronoun/person,,people,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
had,had,word,Uncategorized,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,verb/action,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
hair,hair,word,People/Pronouns/Possessives,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,noun,,things,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
hands,hands,word,Body Parts,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,noun,,things,description/labeling,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
